category,time,headline,description,url,content
,,,,,
,,,,,
NEWS,,Six KWS officers charged with abduction of missing fisherman,"The officers — Francis Gachoki, Alexander Lorogoi, Isaac Wabukala, Michael Kimaiyo, Evans Kipsang, and Abdulrahman Ali Sudi — appeared before Principal Magistrate Kipkurui Kibellion and pleaded not guilty to one count of abduction with intent to conf...",/news/six-kws-officers-charged-with-abduction-of-missing-fisherman-n362177,
NEWS,,Six KWS officers charged with abduction of missing fisherman,"The officers — Francis Gachoki, Alexander Lorogoi, Isaac Wabukala, Michael Kimaiyo, Evans Kipsang, and Abdulrahman Ali Sudi — appeared before Principal Magistrate Kipkurui Kibellion and pleaded not guilty to one count of abduction with intent to conf...",/news/six-kws-officers-charged-with-abduction-of-missing-fisherman-n362177,
,,,,,
,,,,,
,,,,,
NEWS,,Four suspects arraigned over Kasipul MP Charles Were’s assassination,"According to prosecution counsel Allen Mulama, the extension is crucial for pursuing critical leads, including the pursuit of additional suspects—among them a police officer believed to have played a central role in orchestrating the killing....",/news/four-suspects-arraigned-over-kasipul-mp-charles-weres-assassination-n362175,
NEWS,,Four suspects arraigned over Kasipul MP Charles Were’s assassination,"According to prosecution counsel Allen Mulama, the extension is crucial for pursuing critical leads, including the pursuit of additional suspects—among them a police officer believed to have played a central role in orchestrating the killing....",/news/four-suspects-arraigned-over-kasipul-mp-charles-weres-assassination-n362175,
,,,,,
,,,,,
,,,,,
SPORTS,,Ex-French interior minister Darmanin apologises for 2022 Champions League fiasco,"Darmanin initially blamed Liverpool fans for the disorder and claimed many had turned up without tickets.Three years on, he admitted in the interview that the authorities had got it wrong.",/sports/ex-french-interior-minister-darmanin-apologises-for-2022-champions-league-fiasco-n362178,
SPORTS,,Ex-French interior minister Darmanin apologises for 2022 Champions League fiasco,"Darmanin initially blamed Liverpool fans for the disorder and claimed many had turned up without tickets.Three years on, he admitted in the interview that the authorities had got it wrong.",/sports/ex-french-interior-minister-darmanin-apologises-for-2022-champions-league-fiasco-n362178,
,,,,,
,,,,,
,,,,,
NEWS,,"President Ruto promises to connect 25,000 households to electricity in Migori by November","The president made the announcement while touring Awendo Constituency, where he flagged off electrification materials under the Last Mile Connectivity Programme",/news/president-ruto-promises-to-connect-25000-households-to-electricity-in-migori-by-november-n361595,
NEWS,,"President Ruto promises to connect 25,000 households to electricity in Migori by November","The president made the announcement while touring Awendo Constituency, where he flagged off electrification materials under the Last Mile Connectivity Programme",/news/president-ruto-promises-to-connect-25000-households-to-electricity-in-migori-by-november-n361595,
,,,,,
,,,,,
,,,,,
SPORTS,,"Olympic 100m medallist Kerley denies battery, admits to 'altercation'","Kerley, who won 100m gold at the 2022 World Championships and took bronze in the event at the Paris Olympics, said in a statement the arrest was down to a ""misunderstanding"".",/sports/olympic-100m-medallist-kerley-denies-battery-admits-to-altercation-n362172,
SPORTS,,"Olympic 100m medallist Kerley denies battery, admits to 'altercation'","Kerley, who won 100m gold at the 2022 World Championships and took bronze in the event at the Paris Olympics, said in a statement the arrest was down to a ""misunderstanding"".",/sports/olympic-100m-medallist-kerley-denies-battery-admits-to-altercation-n362172,
,,,,,
,,,,,
,,,,,
