headline,url,published_at,tags,content
Stars shine at Met Gala 2025,https://www.kbc.co.ke/stars-shine-at-met-gala-2025/,2025-05-06T07:43:49+03:00,,"The brightest stars in Hollywood, music, sports and fashion hit the red carpet Monday for the Met Gala, the extravagant Manhattan fundraiser that this year spotlights the subversive style of Black dandyism. The blockbuster night’s theme explores the sharply tailored dandy aesthetic and its rich, complicated history. It also celebrates the opening of a corresponding exhibit at the Metropolitan Museum of Art’s Costume Institute. But for the fashionistas, the Met Gala, always the first Monday in May, is simply one of the world’s top red carpets with blinding star power. Oscar-nominated actor Colman Domingo and Formula One driver Lewis Hamilton, two of the co-chairs of fashion’s marquee event, were among the early arrivals alongside gala supremo Anna Wintour, the editor-in-chief of Vogue. Domingo paid tribute to the late Andre Leon Talley, Vogue’s first Black creative director and one of fashion’s towering figures, in a royal blue Valentino cape with a glittering white collar over a snazzy black and gold jacket and gray tweed trousers. Hamilton meanwhile wowed in a sharp cream suit and matching backwards cap, diamonds glittering in his ears, as well as on his lapel, cuffs and hands. And musician and designer Pharrell Williams, another co-chair, looked snappy in a short, pearl-encrusted white jacket and flared black tuxedo trousers. Tailored suits, bejeweled brooches, canes and jaunty hats were de rigueur for the men. Among the women in attendance, actress Teyana Taylor definitely understood the assignment, arriving in a black suit with red pinstripes and matching huge red coat, the back fully pleated and “Harlem Rose” embossed in the fabric. Rapper Doechii wore a logo-heavy Louis Vuitton cream shorts suit with burgundy accents, a cigar dangling between her lips. And actress Zendaya, always a huge hit at the gala, stunned in a slim white suit and dramatic brimmed hat — perhaps some bridal chic now that she is engaged to Tom Holland? Last to arrive at the party was Rihanna, cradling her new baby bump in an all-black ensemble after revealing she was pregnant as the event began. Her partner A$AP Rocky, a gala co-chair, confirmed the pregnancy on the carpet: “I’m glad everybody’s happy for us because we’re definitely happy.” ‘New sense of importance’ The gala comes five years after the enormous anti-racist uprising of the Black Lives Matter movement, which pushed a number of cultural institutions in the United States to grapple with their representation of race and diversity. This Met theme is years in the making but now coincides with Donald Trump’s recent efforts to quash institutional initiatives to promote diversity — a push to keep culture and history defined on the Republican president’s terms. The Met Gala and its exhibit, “Superfine: Tailoring Black Style,” promises a sharp contrast to that notion, a deep dive into Black dandyism from the 18th century to today. “Obviously, this exhibition was planned many years ago, and we didn’t know what would be happening in the political arena, but it’s taken on a new sense of importance and purpose,” Wintour told AFP. Subversion Guest curator and Barnard professor Monica Miller’s book “Slaves to Fashion: Black Dandyism and the Styling of Black Diasporic Identity” was the Met’s inspiration. Her book details how dandyism was a style imposed on Black men in 18th-century Europe, when well-dressed “dandified” servants became a trend. But Black men throughout history subverted the concept as a means of cultivating power, transforming aesthetic and elegance into a means of identity establishment and social mobility. During the vibrant Harlem Renaissance of the 1920s and 1930s, men wore sharp suits and polished shoes as a show of defiance in racially segregated America. “Superfine” is a rare Costume Institute exhibition to spotlight men and male fashion, and the first to focus on Black designers and artists. The Met Gala was first organised in 1948 and for decades was reserved for New York high society, until Wintour transformed the party into a high-profile catwalk for the rich and famous in the 1990s. It remains a fundraiser for the Costume Institute. The famed Manhattan museum said Monday it expected to rake in $31 million this year."
Rihanna reveals third pregnancy at Met Gala,https://www.kbc.co.ke/rihanna-reveals-third-pregnancy-at-met-gala/,2025-05-06T07:28:11+03:00,,"Rihanna loves to make an entrance at the Met Gala, and she certainly did it again Monday — this time, announcing to the world that she is pregnant with her third child with rapper A$AP Rocky. News of the 37-year-old singer and beauty mogul’s new baby bump came before her arrival at the A-list fundraising gala. In a portrait put on Instagram by photographer Miles Diggs, she embraced the Black dandy theme of the gala in a fitted gray Miu Miu blouse and skirt, the baby bump clearly visible, matching knee-high boots, a fur stole and a black cloche hat. Then her long-time partner A$AP Rocky, a co-chair of the event, confirmed the news to reporters who offered congratulations on the red carpet at the Metropolitan Museum of Art. “Thank you, thank you, thank you,” the rapper said. “I’m glad everybody’s happy for us because we’re definitely happy.” Finally, after all of the other guests had arrived, Rihanna hit the red carpet in a deconstructed black ensemble with a cropped jacket, polka dot accessories and a wide-brimmed hat. She cradled the baby bump and smiled for the cameras. Rihanna made a similarly high-profile pregnancy reveal in 2023, while performing at the Super Bowl halftime show. She attended the Met Gala later that year before giving birth. She and A$AP Rocky are parents to sons RZA, born in May 2022, and Riot, born in August 2023. Showing off a baby bump at the Met Gala is a thing: retired tennis superstar Serena Williams did it in 2023, and model Karlie Kloss cradled her bump in both 2023 and again this year."
KBC’s Pwani FM presenter Gates Mgenge wins Best Male Presenter award,https://www.kbc.co.ke/kbcs-pwani-fm-presenter-gates-mgenge-wins-best-male-presenter-award/,2025-05-05T14:42:16+03:00,"Africa Golden Awards,culture","Kenya Broadcasting Corporation (KBC)’s Pwani FM presenter, Gates Mgenge, has won the prestigious Best Male Presenter award at the Africa Golden Awards, a continental ceremony celebrating excellence in radio, television, and digital media. The event, held in Nairobi at the Ole Sereni Hotel over the weekend, brought together media personalities from across Kenya and Africa to honour outstanding talent and contribution to the media landscape. Mgenge, known for his vibrant Swahili broadcasts and deep connection with the Coast region’s audience, emerged top in a highly competitive category.  Speaking to KBC Digital, Mgenge called the win an “incredible honour”. “Winning Best Male Presenter at the Africa Golden Awards is truly humbling. It’s an incredible honour and a powerful reminder that the work we put in—day in and day out—resonates with people. This award is more than just a personal achievement; it’s a validation of the passion, consistency, and connection I strive to bring to every show,” he said. The award marks a significant achievement for KBC and highlights the vital role of regional radio in promoting local talent and storytelling in indigenous languages. Mgenge further thanked his fans for their continued support. “To my fans and listeners: thank you from the bottom of my heart. Your support, feedback, and loyalty keep me going. This win is ours. Let’s keep growing, learning, and sharing this amazing journey together,” he concluded. Gates Mgenge has become a household name at the Kenyan coast, hosting the popular show, Mashav Mashav, that blends music, culture, and current affairs with a distinctly coastal flavour. Mashav Mashav is the top Live Youth Radio Show at the coast hosted on KBC’s Pwani FM 104.7 and  93.7 FM in Malindi from Monday to Friday, 9 am to 12 pm and Saturday, 5 am to 9 am. The show also airs on KBC Channel One on Friday morning."
H_art the Band announces “Uliza Kiatu” anniversary,https://www.kbc.co.ke/h_art-the-band-announces-uliza-kiatu-anniversary/,2025-05-05T14:41:21+03:00,"music,Uliza Kiatu","Kenyan band H_art the band is set to celebrate the anniversary of their debut single “Uliza Kiatu” which premiered on May 10 2014. Capitalising on the current relevance of the song following a security incident in Migori that saw President William Ruto hit by a shoe while addressing a crowd, band member Mordecai Dex announced his first-ever live show. “On May 10th 2014, “Uliza Kiatu” our debut single, dropped on all streaming platforms. On May 10th 2025, I play my first live show and the whole gang is gonna be there with me for this special night,” Mordecai said. “Can’t wait to sing along with you as we celebrate Uliza Kiatu’s 11th birthday.” The song, which premiered over a decade ago, asks its audience to “ask the singer’s shoe” about his experiences, a phrase that has taken on new meaning on social media following the security incident.  The song on YouTube currently stands at 4.8M views, and the video directed by Kevin Bosco has seen an uptick in viewership following the Migori debacle. Mordecai Dex will be performing at the Levilla Gardens from midday with a number of celebrity guests expected to attend, including folk musician Okello Max.  Tickets are currently on sale for the event, however, early access tickets are sold out."
"“100% tariff on movies produced abroad,” – says President Trump",https://www.kbc.co.ke/100-tariff-on-movies-produced-abroad-says-president-trump/,2025-05-05T13:38:35+03:00,"Creative economy,Film","US President Donald Trump said Sunday he was ordering new tariffs on all films made outside the United States, claiming Hollywood was being “devastated” by a trend of US filmmakers and studios working abroad. The announcement comes as the White House is coming under mounting criticism over its aggressive trade policies that have seen Trump impose sweeping tariffs on countries around the globe. “I am authorising the Department of Commerce, and the United States Trade Representative, to immediately begin the process of instituting a 100% Tariff on any and all Movies coming into our Country that are produced in Foreign Lands,” he wrote on his Truth Social platform. “WE WANT MOVIES MADE IN AMERICA, AGAIN!” Commerce Secretary Howard Lutnick reposted Trump’s missive, saying, “We’re on it.” No details were provided on how the tariff would be implemented. Trump’s post comes after China, which has taken the brunt of the US president’s combative trade policies with 145 per cent tariffs on many goods, said last month it would reduce the number of US films it imported. “The Movie Industry in America is DYING a very fast death. Other Countries are offering all sorts of incentives to draw our filmmakers and studios away from the United States,” Trump wrote Sunday. “Hollywood, and many other areas within the U.S.A., are being devastated,” he added, claiming that production being drawn to other countries was a “National Security threat.” The implications for the movie industry — or how exactly the tariffs would be enacted — were not immediately clear. There was also no mention in Trump’s post of whether television series, an increasingly popular and profitable sector of production for the screen, would be affected. US not in top five Hollywood is a major sector of the United States’ economy, generating more than 2.3 million jobs and $279 billion in sales in 2022, according to the latest data from the Motion Picture Association. But in the wake of the Hollywood strikes and the COVID pandemic impacts, which changed how Americans consumed movies, opting to watch at home instead of in theatres, the industry is still struggling to regain its momentum, industry insiders say. According to a January report by production tracking service ProdPro, the United States is a top filming hub with $14.5 billion in production spend, though that amount is a 26 per cent drop compared to two years earlier. However, a survey of studio executives revealed that their top five preferred production locations for 2025 and 2026 were all outside of the United States, due to competitive tax incentive schemes on offer. First was Toronto, followed by Britain, Vancouver, Central Europe and then Australia. California came in at sixth place. Ahead of his inauguration in January, Trump appointed longstanding supporters Sylvester Stallone, Mel Gibson and Jon Voight as special envoys to Hollywood. He said they would make the entertainment industry “STRONGER THAN EVER BEFORE” in a post on Truth Social. Trump and the Republicans have traditionally received scant support from the entertainment industry, and a galaxy of stars from Taylor Swift to George Clooney backed Democrat Kamala Harris in the 2024 presidential election. How this affects Kenya’s creative economy President Trump’s announcement of a 100% tariff on films made outside the United States threatens to derail Kenya’s growing ambitions in the creative economy, particularly its efforts to position itself as a prime filming destination for international studios. In recent years, Kenya has sought to attract U.S. productions through incentives like reduced location fees, support from the Kenya Film Commission, and regional co-production frameworks. In 2024, Cabinet Secretary for Sports, Youth Affairs and Creative Economy Ababu Namwamba hosted a series of meetings between executives from US-based invention Studios and Kenya film sector stakeholders in Nairobi, where he outlined the measures the Ministry had taken to stimulate partnerships among film creators in the respective countries. “We have developed an incentive framework aimed at mobilising investments in the film sector which is a key component of the Bottom Up Economic Transformation Agenda”, said CS Namwamba at the time. However, with Trump’s policy penalising U.S. filmmakers who shoot abroad, these incentives may now hold less appeal. Instead of encouraging American filmmakers to explore Kenya’s scenic landscapes and rich cultural narratives, the tariffs could push them to remain within U.S. borders to avoid additional distribution costs. This development puts pressure on Kenya’s creative economy blueprint to pivot. Rather than relying on inbound U.S. productions, Kenya may now need to double down on building regional partnerships, supporting local content creation, and tapping into other international markets such as Europe, Asia, and Africa, where trade relations remain more stable and welcoming to co-productions. The long-term vision for Kenya’s film industry may require greater self-reliance and strategic diversification."
Kardashian ready to ‘confront’ her Paris attackers in court,https://www.kbc.co.ke/kardashian-ready-to-confront-her-paris-attackers-in-court/,2025-05-05T12:40:50+03:00,"armed robbery,France","Kim Kardashian is ready to “confront” her Paris attackers as the US celebrity prepares to testify in person next week at a trial over an armed robbery of her jewellery in 2016, her lawyers said Monday. “She is committed to attending in person the trial and to confronting those who attacked her. She will do so with dignity and courage,” her French lawyers Leonor Hennerick and Jonathan Mattout told AFP. In late April, 10 suspects went on trial in Paris over the 2016 robbery of the US celebrity, which saw some $10 million worth of jewellery stolen from the reality TV star and influencer. On the night of October 2-3, 2016, Kardashian, then 35, was robbed while staying at an exclusive hotel in central Paris. She was threatened with a gun to the head and tied up with her mouth taped up. Kardashian, who has been keeping abreast of developments during the first week of the trial, is due to testify on May 13 in a court appearance certain to attract huge media attention. The lawyers, who are representing Kardashian alongside her American counsel Michael Rhodes, declined to comment on the content of her upcoming testimony. “We want to give everyone the opportunity to hear her testimony in her own words so we won’t be commenting on the substance of what she will say,” they said in a statement. During what the French press has dubbed the “the heist of the century”, masked men walked away from the Parisian hotel with millions of dollars worth of jewels in 2016, including a diamond ring gifted by her then-husband, rapper Kanye West. The theft was the biggest against a private individual in France in the past 20 years. Those on trial are mainly men in their 60s and 70s with previous criminal records and underworld nicknames like “Old Omar” and “Blue Eyes” that recall the old-school French bandits of 1960s and 1970s film noirs. Kardashian, her lawyers said, “is genuinely grateful for the way in which the French authorities conducted the investigation that led to the discovery of the persons facing charges in this trial. “Throughout the process, the utmost respect and consideration has been given for Ms. Kardashian,” they said. She “will cooperate with the judicial process and answer all questions,” her lawyers added. The trial is due to last until May 23."
Stars shine at Met Gala 2025,https://www.kbc.co.ke/stars-shine-at-met-gala-2025/,2025-05-06T07:43:49+03:00,,"The brightest stars in Hollywood, music, sports and fashion hit the red carpet Monday for the Met Gala, the extravagant Manhattan fundraiser that this year spotlights the subversive style of Black dandyism. The blockbuster night’s theme explores the sharply tailored dandy aesthetic and its rich, complicated history. It also celebrates the opening of a corresponding exhibit at the Metropolitan Museum of Art’s Costume Institute. But for the fashionistas, the Met Gala, always the first Monday in May, is simply one of the world’s top red carpets with blinding star power. Oscar-nominated actor Colman Domingo and Formula One driver Lewis Hamilton, two of the co-chairs of fashion’s marquee event, were among the early arrivals alongside gala supremo Anna Wintour, the editor-in-chief of Vogue. Domingo paid tribute to the late Andre Leon Talley, Vogue’s first Black creative director and one of fashion’s towering figures, in a royal blue Valentino cape with a glittering white collar over a snazzy black and gold jacket and gray tweed trousers. Hamilton meanwhile wowed in a sharp cream suit and matching backwards cap, diamonds glittering in his ears, as well as on his lapel, cuffs and hands. And musician and designer Pharrell Williams, another co-chair, looked snappy in a short, pearl-encrusted white jacket and flared black tuxedo trousers. Tailored suits, bejeweled brooches, canes and jaunty hats were de rigueur for the men. Among the women in attendance, actress Teyana Taylor definitely understood the assignment, arriving in a black suit with red pinstripes and matching huge red coat, the back fully pleated and “Harlem Rose” embossed in the fabric. Rapper Doechii wore a logo-heavy Louis Vuitton cream shorts suit with burgundy accents, a cigar dangling between her lips. And actress Zendaya, always a huge hit at the gala, stunned in a slim white suit and dramatic brimmed hat — perhaps some bridal chic now that she is engaged to Tom Holland? Last to arrive at the party was Rihanna, cradling her new baby bump in an all-black ensemble after revealing she was pregnant as the event began. Her partner A$AP Rocky, a gala co-chair, confirmed the pregnancy on the carpet: “I’m glad everybody’s happy for us because we’re definitely happy.” ‘New sense of importance’ The gala comes five years after the enormous anti-racist uprising of the Black Lives Matter movement, which pushed a number of cultural institutions in the United States to grapple with their representation of race and diversity. This Met theme is years in the making but now coincides with Donald Trump’s recent efforts to quash institutional initiatives to promote diversity — a push to keep culture and history defined on the Republican president’s terms. The Met Gala and its exhibit, “Superfine: Tailoring Black Style,” promises a sharp contrast to that notion, a deep dive into Black dandyism from the 18th century to today. “Obviously, this exhibition was planned many years ago, and we didn’t know what would be happening in the political arena, but it’s taken on a new sense of importance and purpose,” Wintour told AFP. Subversion Guest curator and Barnard professor Monica Miller’s book “Slaves to Fashion: Black Dandyism and the Styling of Black Diasporic Identity” was the Met’s inspiration. Her book details how dandyism was a style imposed on Black men in 18th-century Europe, when well-dressed “dandified” servants became a trend. But Black men throughout history subverted the concept as a means of cultivating power, transforming aesthetic and elegance into a means of identity establishment and social mobility. During the vibrant Harlem Renaissance of the 1920s and 1930s, men wore sharp suits and polished shoes as a show of defiance in racially segregated America. “Superfine” is a rare Costume Institute exhibition to spotlight men and male fashion, and the first to focus on Black designers and artists. The Met Gala was first organised in 1948 and for decades was reserved for New York high society, until Wintour transformed the party into a high-profile catwalk for the rich and famous in the 1990s. It remains a fundraiser for the Costume Institute. The famed Manhattan museum said Monday it expected to rake in $31 million this year."
Rihanna reveals third pregnancy at Met Gala,https://www.kbc.co.ke/rihanna-reveals-third-pregnancy-at-met-gala/,2025-05-06T07:28:11+03:00,,"Rihanna loves to make an entrance at the Met Gala, and she certainly did it again Monday — this time, announcing to the world that she is pregnant with her third child with rapper A$AP Rocky. News of the 37-year-old singer and beauty mogul’s new baby bump came before her arrival at the A-list fundraising gala. In a portrait put on Instagram by photographer Miles Diggs, she embraced the Black dandy theme of the gala in a fitted gray Miu Miu blouse and skirt, the baby bump clearly visible, matching knee-high boots, a fur stole and a black cloche hat. Then her long-time partner A$AP Rocky, a co-chair of the event, confirmed the news to reporters who offered congratulations on the red carpet at the Metropolitan Museum of Art. “Thank you, thank you, thank you,” the rapper said. “I’m glad everybody’s happy for us because we’re definitely happy.” Finally, after all of the other guests had arrived, Rihanna hit the red carpet in a deconstructed black ensemble with a cropped jacket, polka dot accessories and a wide-brimmed hat. She cradled the baby bump and smiled for the cameras. Rihanna made a similarly high-profile pregnancy reveal in 2023, while performing at the Super Bowl halftime show. She attended the Met Gala later that year before giving birth. She and A$AP Rocky are parents to sons RZA, born in May 2022, and Riot, born in August 2023. Showing off a baby bump at the Met Gala is a thing: retired tennis superstar Serena Williams did it in 2023, and model Karlie Kloss cradled her bump in both 2023 and again this year."
KBC’s Pwani FM presenter Gates Mgenge wins Best Male Presenter award,https://www.kbc.co.ke/kbcs-pwani-fm-presenter-gates-mgenge-wins-best-male-presenter-award/,2025-05-05T14:42:16+03:00,"Africa Golden Awards,culture","Kenya Broadcasting Corporation (KBC)’s Pwani FM presenter, Gates Mgenge, has won the prestigious Best Male Presenter award at the Africa Golden Awards, a continental ceremony celebrating excellence in radio, television, and digital media. The event, held in Nairobi at the Ole Sereni Hotel over the weekend, brought together media personalities from across Kenya and Africa to honour outstanding talent and contribution to the media landscape. Mgenge, known for his vibrant Swahili broadcasts and deep connection with the Coast region’s audience, emerged top in a highly competitive category.  Speaking to KBC Digital, Mgenge called the win an “incredible honour”. “Winning Best Male Presenter at the Africa Golden Awards is truly humbling. It’s an incredible honour and a powerful reminder that the work we put in—day in and day out—resonates with people. This award is more than just a personal achievement; it’s a validation of the passion, consistency, and connection I strive to bring to every show,” he said. The award marks a significant achievement for KBC and highlights the vital role of regional radio in promoting local talent and storytelling in indigenous languages. Mgenge further thanked his fans for their continued support. “To my fans and listeners: thank you from the bottom of my heart. Your support, feedback, and loyalty keep me going. This win is ours. Let’s keep growing, learning, and sharing this amazing journey together,” he concluded. Gates Mgenge has become a household name at the Kenyan coast, hosting the popular show, Mashav Mashav, that blends music, culture, and current affairs with a distinctly coastal flavour. Mashav Mashav is the top Live Youth Radio Show at the coast hosted on KBC’s Pwani FM 104.7 and  93.7 FM in Malindi from Monday to Friday, 9 am to 12 pm and Saturday, 5 am to 9 am. The show also airs on KBC Channel One on Friday morning."
H_art the Band announces “Uliza Kiatu” anniversary,https://www.kbc.co.ke/h_art-the-band-announces-uliza-kiatu-anniversary/,2025-05-05T14:41:21+03:00,"music,Uliza Kiatu","Kenyan band H_art the band is set to celebrate the anniversary of their debut single “Uliza Kiatu” which premiered on May 10 2014. Capitalising on the current relevance of the song following a security incident in Migori that saw President William Ruto hit by a shoe while addressing a crowd, band member Mordecai Dex announced his first-ever live show. “On May 10th 2014, “Uliza Kiatu” our debut single, dropped on all streaming platforms. On May 10th 2025, I play my first live show and the whole gang is gonna be there with me for this special night,” Mordecai said. “Can’t wait to sing along with you as we celebrate Uliza Kiatu’s 11th birthday.” The song, which premiered over a decade ago, asks its audience to “ask the singer’s shoe” about his experiences, a phrase that has taken on new meaning on social media following the security incident.  The song on YouTube currently stands at 4.8M views, and the video directed by Kevin Bosco has seen an uptick in viewership following the Migori debacle. Mordecai Dex will be performing at the Levilla Gardens from midday with a number of celebrity guests expected to attend, including folk musician Okello Max.  Tickets are currently on sale for the event, however, early access tickets are sold out."
