headline,url,published_at,tags,content
"TSC announces 2,014 vacancies to fill gaps left through natural attrition",https://www.kbc.co.ke/tsc-announces-2014-vacancies-to-fill-gaps-left-through-natural-attrition/,2025-05-06T08:17:56+03:00,,"The Teachers Service Commission (TSC) is seeking to fill 2,014 vacancies left by teachers who exited service through natural attrition across public primary, junior, and secondary schools. In a statement issued on its website, the Commission disclosed that the vacancies include 1,309 positions for primary schools, 32 for junior schools, and 673 for secondary schools. TSC said the new hires will be employed on permanent and pensionable terms, with preference given to applicants who have not previously worked for the Commission. The commission noted that manual applications will not be accepted and urged interested candidates are required to submit their applications online through the TSC website by Monday, 19th May 2025. “Interested and qualified candidates should submit their applications online through the Teachers Service Commission’s website, www.tsc.go.ke under ‘Careers’ or teachersonline.tsc.go.ke not later than Monday, 19th May 2025 Midnight,” stated TSC. “Shortlisted candidates will be required to present original academic and professional certificates. Successful candidates must not fill more than one Application for Employment Form. Filling of two or more Application for Employment Forms will lead to disqualification.” Additionally, the applicants must be Kenyan citizens, registered with the TSC, and possess a P1 certificate for primary level or a diploma in education for junior and secondary levels. TSC further issued a caution against fraudsters, warning applicants not to pay for the recruitment process. “The recruitment exercise is free of charge. The Teachers Service Commission forewarns applicants against fraudsters who might extort money from unsuspecting persons purporting to assist in recruitment,” the commission stated. The Commission noted that the 2024/2025 recruitment guidelines will govern the hiring process, and persons with disabilities are encouraged to apply in line with the equal opportunity provisions of the Constitution."
President Ruto pledges to revive Sony Sugar,https://www.kbc.co.ke/president-ruto-pledges-to-revive-sony-sugar/,2025-05-05T23:02:03+03:00,,"President William Ruto has pledged to restore Migori’s sugar Company Sony to profitability as part of the government’s broader efforts to revitalise the sector. The government will adopt a strategy similar to the Mumias Sugar Company recovery plan, the President explained, to modernise Sony Sugar and enhance its efficiency. He said a new management team will be appointed, with a clear mandate to give priority to the interests of cane farmers at the core of the company’s operations. The President was speaking during the groundbreaking ceremony for the Alara Nyambija Livestock Training Institute in Awendo, Migori County, which will support livestock farming. He also flagged off the Migori Last Mile Connectivity Project, which will connect 25,000 households to power by December. The programme will cost Ksh1.9 billion. In Rongo, he inspected the construction of Riosir Market, which will accommodate more than 300 traders. He also commissioned St Paul’s Rongo Mixed Day Secondary School. President Ruto also launched construction of the Muhuru Bay Pier in Nyatike Constituency, which will reduce fish harvest losses and boost earnings. He said the government is harnessing Lake Victoria’s huge potential, including fisheries, aquaculture, tourism and transportation, to spur growth, create jobs and reduce poverty. The President also inspected the progress of construction works at Oria modern market in Uriri Constituency."
Working with Raila enables us to concentrate on service delivery – Ruto,https://www.kbc.co.ke/working-with-raila-enables-us-to-concentrate-on-service-delivery-ruto/,2025-05-05T17:54:34+03:00,,"President William Ruto has stated that collaborating with former Prime Minister Raila Odinga enables his administration to prioritize service delivery and national unity over political rivalry. During a development tour of Migori County, Ruto emphasized that his partnership with Raila and the ODM party is centred on putting the interests of Kenyans first, fostering political cohesion, and addressing pressing issues such as the cost of living and youth unemployment. “Tulikubaliana na Raila Odinga ya kwamba hatutaki siasa ya chuki, ukabila na migawanyiko. Sasa ni wakati wa kuungana na tukiungana si kwa sababu ya mambo ya kibinafsi. Tunaungana ili tuweze kupanga mambo ya maendeleo. Mambo ya siasa itakuja baadaye,” he stated. President Ruto asserted that opposition leaders would not succeed in dragging the government into a political environment characterised by hatred, division, and tribalism. He expressed his commitment to implementing programmes and projects aimed at transforming the lives of Kenyans and confirmed that he would remain steadfast in this mission. He called on his critics to propose alternative development plans, arguing that it is unwise to rely on outdated and detrimental political practices. The President also expressed confidence in Kenyans’ ability to recognise development-oriented leaders as opposed to those who incite hate, division, and tribalism. “Kenyans want to know what your plan is. Must Go is not enough. Must Go is not an agenda,” he remarked. These comments were made on the second day of his development tour in Migori County, where he was accompanied by Migori County Governor Ochilo Ayacko, Cabinet Secretaries, and MPs. He underscored that this is not the time for political manoeuvring but rather for serving the people. Regarding sugar farming, President Ruto announced that the government is commercialising sugar companies to enhance their operational efficiency. He explained that this initiative would ensure timely payments for farmers and workers, with growers also set to receive bonuses. “We will put in place at Sony a management style that has succeeded at Mumias Sugar Company. It pays farmers and workers on time,” he said. Additionally, the President highlighted the government’s commitment to reforming other crucial areas of the agricultural sector to boost profitability in farming. He pointed out that the affordable fertiliser programme, which has reduced fertiliser costs, has already resulted in increased agricultural productivity and output. On education, he noted that the government is enacting bold reforms to ensure that every child, regardless of their background, has equal access to learning and opportunities for success. President Ruto highlighted the recruitment of 76,000 teachers, with an additional 20,000 planned for later this year, alongside the rollout of a new university funding model to support disadvantaged students. Regarding employment, the President noted that the government is investing in labour-intensive programmes, such as modern markets and affordable housing, aimed at creating job opportunities for the youth. In addition, the government is establishing digital hubs and facilitating job placements abroad. On infrastructure, the President stated that the government has allocated sufficient resources to complete 18 roads that had been stalled in Migori County. He also mentioned that the government is making strategic investments to unlock the potential of Lake Victoria, which possesses significant resources that can generate jobs, enhance food production, and stimulate the region’s economy. In Rongo, President Ruto inspected the construction of the Riosir Market, which will accommodate more than 300 traders. He also commissioned St Paul’s Rongo Mixed Day Secondary School. Later, President Ruto presided over the groundbreaking of the Alara Nyambija Livestock Training Institute in Awendo, which will support livestock farming in the county. The new institute will be powered by a reliable and affordable electricity supply, serving over 25,000 households in the area. The President also launched the construction of the Muhuru Bay Pier, aimed at reducing post-harvest losses and significantly increasing earnings for local fishermen. Additionally, President Ruto flagged off the KSh1.9 billion Migori Last Mile Connectivity project, which is set to connect 25,000 households in Migori County by December 2025. He inspected the construction progress of the Oria modern market in Uriri."
PS Oluga underscores Commodity Security as pillar of Universal Health Coverage delivery,https://www.kbc.co.ke/ps-oluga-underscores-commodity-security-as-pillar-of-universal-health-coverage-delivery/,2025-05-05T20:15:07+03:00,Director General for Health Dr. Patrick Amoth,
"There’s no turning back on deal with Ruto, Raila allies affirm",https://www.kbc.co.ke/theres-no-turning-back-on-deal-with-ruto-raila-allies-affirm/,2025-05-05T13:14:45+03:00,,"Key allies of former Prime Minister Raila Odinga have affirmed that there is no turning back on the political deal signed with President William Ruto. The group, led by Minority Leader of the National Assembly Junet Mohamed, Treasury Cabinet Secretary John Mbadi, and Energy Cabinet Secretary Opiyo Wandayi, noted that Ruto and Raila officially signed a Memorandum of Understanding (MoU) last year establishing a framework for broad-based government cooperation between their parties, the United Democratic Alliance (UDA) and the Orange Democratic Movement (ODM), and this decision still stands. “This broad-based government, sisi kama watu wa ODM tuli-sign MOU na Rais William Ruto na ten-point agenda. And we will stick by that,” said Junet Mohamed. He criticized a section of ODM leaders who continue to oppose President William Ruto’s administration, stating that their views do not represent the interests of the party or its leader. “Those people in ODM who sometimes go overboard, na saa zingine wanataka kutusi rais, I will remind them that in our agreement, there was nothing like abusing the government or the President. Hiyo haikuwa. Hiyo ni yao,” he said during President William Ruto’s tour of Migori County. His sentiments were supported by former ODM chairman and current Cabinet Secretary for Treasury John Mbadi. He emphasized that unity pact entered into by the two leaders transcends individual leaders and is focused on national stability, equity, and prosperity for all Kenyans. “If you want to read the body language of Raila Odinga, read Dr. Oburu Odinga. Also check what Junet Mohamed and John Mbadi are saying. Stop listening to other people. We are moving forward. Forward ever, backward never,” he stated. Mbadi reiterated that ODM’s decision clearly indicates that the entire Nyanza region will support Ruto and will no longer participate in activities aimed at undermining the government. “We must help our people to move forward. We will do so under the leadership of only one person – Raila Amolo Odinga – who has chosen to work with President William Samoei Ruto,” he said. “You tell me that we should remain in the streets. Yes, Luos are known for fighting for human rights and we will continue to fight for human rights. But human rights is a wide terminology, it includes political and economic rights. We must also have economic rights,” he added. His energy counterpart Opiyo Wandayi stated that cooperation with President Ruto is a strategic partnership designed to foster national unity and address Kenya’s pressing issues, with no indication of reversing the agreement. “For the naysayers especially in our midst, who still think that we can go backwards, they are daydreaming. We have moved on. We know those who are our genuine friends and we also know those who are not. We have resolved that this region is going to be part and parcel of president William Ruto’s administration,” he stated. Wandayi further stressed that the current agreement between President Ruto and ODM’s Raila Odinga is the best opportunity for the Nyanza region. “If there is anything that has happened to this region (Nyanza) that is worth talking about and is memorable since independence, it is this arrangement of broad-based government by Ruto and Raila. I say so with a lot of confidence and without fear of contradiction,” stated the Energy CS. “We have been in political arrangements and partnerships before, but if there a partnership that is well-meaning and well-guided, it is this broad-based partnership and we have no apologies to make. We have no regrets whatsoever for agreeing as a people and as a party to come and partner with you (President Ruto) and we are not looking back,” he explained. Their sentiments echoed those of Principal Secretary in the Ministry of Interior and National Administration, Dr. Raymond Omollo. “President William Ruto made a very conscious decision to work with Rt. Hon. Raila Odinga. It is not the place of any other leader from this region (Nyanza) to second-guess that decision or to use our youth to perpetuate division and discord,” said Omollo. At the same time, Migori Governor Ochillo Ayacko asserted that county governors should be the last to criticize the National Assembly. “When you see a governor criticizing the national government, that is idiocy. The Constitution is very clear and explicit that the relationship between the national and county governments must be that of mutual respect, cooperation and must work together for the benefit of the people,” he explained. “As governor, I may have my individual feelings or sentiments but because I am head of government, I feel pained if I was to provoke the national government to criticize my own government. Imagine if the President came here to criticize me because of my incessant critique of his administration,” Ayacko added."
Pathologists to conduct autopsy on slain Kasipul MP today,https://www.kbc.co.ke/pathologists-to-conduct-autopsy-on-slain-kasipul-mp-today/,2025-05-05T07:57:58+03:00,"Kasipul MP Charles Ong'ondo Were,Postmortem","Pathologists, led by Dr. Johansen Oduor, the Government’s Chief Pathologists are set to a conduct a postmortem on the body of slain Kasipul Member of Parliament Charles Ong’ondo Were today (Monday). “An autopsy led by Chief Government Pathologist Dr. Johansen Oduor is scheduled for Monday, May 5, 2025, to provide further insights into the cause of death and support the investigation,” the DCI said Friday through a statement. The investigative agency said that it had forensically reconstructed the late MP’s movements from Parliament before meeting his death. Ong’ondo Were was shot dead on Wednesday by unknown gunman along Ngong Road who was reportedly on a motorcycle. According to DCI, its investigations which are currently ongoing have yielded significant leads, enabling detectives narrow down to potential suspects. “While the motive for this heinous act remains under investigation, preliminary investigations suggest that this was a premeditated act. The DCI is pursuing all angles to uncover the circumstances surrounding this incident,” the statement further read.
Inspector General of Police Douglas Kanja, who was at the hospital and Lee funeral home alongside DCI Boss Amin Mohammed, affirmed that a manhunt for the suspects has begun, citing the incident was premeditated and well planned. In February this year, the late Kasipul legislator in an interview with KBC Channel 1 said his life was in danger. No suspects have been apprehended so far as investigations continue."
"TSC announces 2,014 vacancies to fill gaps left through natural attrition",https://www.kbc.co.ke/tsc-announces-2014-vacancies-to-fill-gaps-left-through-natural-attrition/,2025-05-06T08:17:56+03:00,,"The Teachers Service Commission (TSC) is seeking to fill 2,014 vacancies left by teachers who exited service through natural attrition across public primary, junior, and secondary schools. In a statement issued on its website, the Commission disclosed that the vacancies include 1,309 positions for primary schools, 32 for junior schools, and 673 for secondary schools. TSC said the new hires will be employed on permanent and pensionable terms, with preference given to applicants who have not previously worked for the Commission. The commission noted that manual applications will not be accepted and urged interested candidates are required to submit their applications online through the TSC website by Monday, 19th May 2025. “Interested and qualified candidates should submit their applications online through the Teachers Service Commission’s website, www.tsc.go.ke under ‘Careers’ or teachersonline.tsc.go.ke not later than Monday, 19th May 2025 Midnight,” stated TSC. “Shortlisted candidates will be required to present original academic and professional certificates. Successful candidates must not fill more than one Application for Employment Form. Filling of two or more Application for Employment Forms will lead to disqualification.” Additionally, the applicants must be Kenyan citizens, registered with the TSC, and possess a P1 certificate for primary level or a diploma in education for junior and secondary levels. TSC further issued a caution against fraudsters, warning applicants not to pay for the recruitment process. “The recruitment exercise is free of charge. The Teachers Service Commission forewarns applicants against fraudsters who might extort money from unsuspecting persons purporting to assist in recruitment,” the commission stated. The Commission noted that the 2024/2025 recruitment guidelines will govern the hiring process, and persons with disabilities are encouraged to apply in line with the equal opportunity provisions of the Constitution."
President Ruto pledges to revive Sony Sugar,https://www.kbc.co.ke/president-ruto-pledges-to-revive-sony-sugar/,2025-05-05T23:02:03+03:00,,"President William Ruto has pledged to restore Migori’s sugar Company Sony to profitability as part of the government’s broader efforts to revitalise the sector. The government will adopt a strategy similar to the Mumias Sugar Company recovery plan, the President explained, to modernise Sony Sugar and enhance its efficiency. He said a new management team will be appointed, with a clear mandate to give priority to the interests of cane farmers at the core of the company’s operations. The President was speaking during the groundbreaking ceremony for the Alara Nyambija Livestock Training Institute in Awendo, Migori County, which will support livestock farming. He also flagged off the Migori Last Mile Connectivity Project, which will connect 25,000 households to power by December. The programme will cost Ksh1.9 billion. In Rongo, he inspected the construction of Riosir Market, which will accommodate more than 300 traders. He also commissioned St Paul’s Rongo Mixed Day Secondary School. President Ruto also launched construction of the Muhuru Bay Pier in Nyatike Constituency, which will reduce fish harvest losses and boost earnings. He said the government is harnessing Lake Victoria’s huge potential, including fisheries, aquaculture, tourism and transportation, to spur growth, create jobs and reduce poverty. The President also inspected the progress of construction works at Oria modern market in Uriri Constituency."
Working with Raila enables us to concentrate on service delivery – Ruto,https://www.kbc.co.ke/working-with-raila-enables-us-to-concentrate-on-service-delivery-ruto/,2025-05-05T17:54:34+03:00,,"President William Ruto has stated that collaborating with former Prime Minister Raila Odinga enables his administration to prioritize service delivery and national unity over political rivalry. During a development tour of Migori County, Ruto emphasized that his partnership with Raila and the ODM party is centred on putting the interests of Kenyans first, fostering political cohesion, and addressing pressing issues such as the cost of living and youth unemployment. “Tulikubaliana na Raila Odinga ya kwamba hatutaki siasa ya chuki, ukabila na migawanyiko. Sasa ni wakati wa kuungana na tukiungana si kwa sababu ya mambo ya kibinafsi. Tunaungana ili tuweze kupanga mambo ya maendeleo. Mambo ya siasa itakuja baadaye,” he stated. President Ruto asserted that opposition leaders would not succeed in dragging the government into a political environment characterised by hatred, division, and tribalism. He expressed his commitment to implementing programmes and projects aimed at transforming the lives of Kenyans and confirmed that he would remain steadfast in this mission. He called on his critics to propose alternative development plans, arguing that it is unwise to rely on outdated and detrimental political practices. The President also expressed confidence in Kenyans’ ability to recognise development-oriented leaders as opposed to those who incite hate, division, and tribalism. “Kenyans want to know what your plan is. Must Go is not enough. Must Go is not an agenda,” he remarked. These comments were made on the second day of his development tour in Migori County, where he was accompanied by Migori County Governor Ochilo Ayacko, Cabinet Secretaries, and MPs. He underscored that this is not the time for political manoeuvring but rather for serving the people. Regarding sugar farming, President Ruto announced that the government is commercialising sugar companies to enhance their operational efficiency. He explained that this initiative would ensure timely payments for farmers and workers, with growers also set to receive bonuses. “We will put in place at Sony a management style that has succeeded at Mumias Sugar Company. It pays farmers and workers on time,” he said. Additionally, the President highlighted the government’s commitment to reforming other crucial areas of the agricultural sector to boost profitability in farming. He pointed out that the affordable fertiliser programme, which has reduced fertiliser costs, has already resulted in increased agricultural productivity and output. On education, he noted that the government is enacting bold reforms to ensure that every child, regardless of their background, has equal access to learning and opportunities for success. President Ruto highlighted the recruitment of 76,000 teachers, with an additional 20,000 planned for later this year, alongside the rollout of a new university funding model to support disadvantaged students. Regarding employment, the President noted that the government is investing in labour-intensive programmes, such as modern markets and affordable housing, aimed at creating job opportunities for the youth. In addition, the government is establishing digital hubs and facilitating job placements abroad. On infrastructure, the President stated that the government has allocated sufficient resources to complete 18 roads that had been stalled in Migori County. He also mentioned that the government is making strategic investments to unlock the potential of Lake Victoria, which possesses significant resources that can generate jobs, enhance food production, and stimulate the region’s economy. In Rongo, President Ruto inspected the construction of the Riosir Market, which will accommodate more than 300 traders. He also commissioned St Paul’s Rongo Mixed Day Secondary School. Later, President Ruto presided over the groundbreaking of the Alara Nyambija Livestock Training Institute in Awendo, which will support livestock farming in the county. The new institute will be powered by a reliable and affordable electricity supply, serving over 25,000 households in the area. The President also launched the construction of the Muhuru Bay Pier, aimed at reducing post-harvest losses and significantly increasing earnings for local fishermen. Additionally, President Ruto flagged off the KSh1.9 billion Migori Last Mile Connectivity project, which is set to connect 25,000 households in Migori County by December 2025. He inspected the construction progress of the Oria modern market in Uriri."
PS Oluga underscores Commodity Security as pillar of Universal Health Coverage delivery,https://www.kbc.co.ke/ps-oluga-underscores-commodity-security-as-pillar-of-universal-health-coverage-delivery/,2025-05-05T20:15:07+03:00,Director General for Health Dr. Patrick Amoth,
