headline,url,published_at,tags,content
Three suspects in Ruto shoe incident released without charges,https://www.kbc.co.ke/three-suspects-in-ruto-shoe-incident-released-without-charges/,2025-05-06T11:03:10+03:00,,"Three individuals who were arrested for allegedly hurling a shoe at President William Ruto during a public event in Migori have been released without charges after investigations revealed the act was not intentional. The incident occurred on May 5, as President Ruto was launching a 200-unit affordable housing project in Kehancha, Kuria West Constituency, as part of his ongoing three-day working tour of Migori County. Security officers moved swiftly to arrest three individuals suspected to be involved. However, after a thorough review of multiple video recordings, investigators concluded that there was no clear intent to target the Head of State. A senior security official, who spoke to KBC on condition of anonymity, said the video footage showed one person holding a shoe, possibly mimicking others who were using their phones to record the event. According to the investigators, someone reportedly complained that the shoe was blocking their view, prompting another individual to knock it aside. The shoe was inadvertently propelled toward the President. Local leaders, including members of the clergy, condemned the incident, describing it as disrespectful and shameful. They urged the public to maintain decorum during public events and to support ongoing development initiatives in the region."
"Facts don’t lie, security is improving – CS Murkomen",https://www.kbc.co.ke/facts-dont-lie-security-is-improving-cs-murkomen/,2025-05-06T10:56:17+03:00,,"Interior Cabinet Secretary Kipchumba Murkomen has defended the government’s record on security since he took charge of the Ministry of Interior and National Administration, citing tangible improvements. In response to criticism regarding his management of security issues, Murkomen asserts that all available data indicates an improving security situation in most parts of the country, particularly in areas prone to bandit attacks. “Mkiniona, mnaona kama mimi ni mtu wa kucheza na mambo ya banditry? Forget about these stories watu wanaandika sijui ooh Kipchumba hii, Kipchumba hiyo. Give us the statistics and the numbers,” he stated. “Nimekuwa waziri wa usalama 5 months pekee. In the first three months, tumepunguza mambo ya banditry. Sio kwa sababu Kipchumba amefanya kazi, and I know I will not even be given credit. It’s because there are men and women, police officers mpaka NPR, wenye wamejitolea na wako kwa ground and we support them,” the CS explained. According to Murkomen, the 2025 quarter one security report confirms this with numbers indicating a significant decrease in cases of banditry and stock theft. He pointed out that between January and March 2025, deaths from banditry dropped significantly to 21, down from 58 during the same period in 2024. He said reported stock theft cases also fell from 263 to 167, while livestock thefts decreased from 8,557 to 4,935 over the same periods. “I have very clear instructions from the President, and I know where we are going,” said the CS. He reiterated his commitment to ensuring that, under his leadership, security agencies will have the necessary support to eliminate cattle rustling. “Tuko kwa kauli ya mwisho ya kumalizana na mambo ya banditry. Tukiingia serikalini, Laikipia, Baringo South na sehemu nyingi ya Kerio Valley watoto hawakuwa wanaenda shule. Sehemu nyingi kulikuwa na shida kubwa sana,” he said. He also reiterated his belief that certain individuals have been profiting from insecurity in specific areas of the country, contributing to long-standing security challenges. He warned that this will not be tolerated. “Naelewa mambo ya banditry sana. Nili-grow up tukiwa na hii mambo ya bundiki. That’s why ukiona napiga kelele, I am speaking from experience. I don’t support arming of any community no matter the challenges the people face because we want to sort out the problems of Kerio Valley,” he stated, urging leaders to support efforts aimed at fostering peace."
Woman burnt to death in suspected arson attack in Kakamega,https://www.kbc.co.ke/woman-burnt-to-death-in-suspected-arson-attack-in-kakamega/,2025-05-06T10:14:35+03:00,"Arson attack,Kakamega","Grief has engulfed Malinya village in Ikolomani, Kakamega County, after a 38-year-old woman was burnt to death in a suspected arson attack at her home. The incident, which occurred Tuesday night, has left the community in shock as police launch investigations. Neighbours revealed that the door was locked from the outside, pointing to possible foul play, even as some allege that her boyfriend could be behind the incident. They remembered the deceased as a quiet and respectful woman, calling on the police to take swift action and ensure those responsible are brought to justice. The body has been transferred to Kakamega County Referral Hospital Mortuary, and investigations into the incident are ongoing."
ICJ Kenya hails court ruling declaring WorldCoin’s biometric data collection illegal,https://www.kbc.co.ke/icj-kenya-hails-court-ruling-declaring-worldcoins-biometric-data-collection-illegal/,2025-05-06T09:19:06+03:00,"ICJ,Worldcoin","The International Commission of Jurists – Kenyan Section (ICJ Kenya) has welcomed a High Court ruling that found the collection, processing, and transfer of biometric data by WorldCoin in Kenya to be unconstitutional and unlawful. In a statement, ICJ Kenya Chairperson Protas Saende lauded the judgment by Lady Justice Roselyne Aburili, describing it as an affirmation of the right to privacy in the digital era. “The judgment rightly underscores that even in the digital age, constitutional rights especially the right to privacy under Article 31 of the Constitution must be upheld,” said Sande. The ruling stems from a public interest case filed by Katiba Institute challenging the legality of WorldCoin’s operations in Kenya, with ICJ Kenya participating as an interested party. Sande noted that Tools for Humanity, the company behind WorldCoin, violated the Data Protection Act by failing to conduct a mandatory Data Protection Impact Assessment (DPIA) and collecting personal data without valid consent. According to ICJ Kenya, the court determined that the company induced Kenyans to surrender their biometric data, including iris scans, by offering cryptocurrency worth 55 US Dollars, thereby breaching the principle of informed consent. “The Court affirmed that WorldCoin commenced data collection without valid consent from the Office of the Data Protection Commissioner (ODPC) and without conducting the required DPIA, in breach of Sections 25, 26, 29, 30, and 31 of the Data Protection Act, 2019,” Sande stated. ICJ Kenya also hailed orders issued by the court which include, prohibition of WorldCoin from collecting personal data from Kenyans and quashing of its decision to collect such data without a DPIA. The courts also ordered permanent deletion of unlawfully collected data under the supervision of the ODPC within 7 days and the revocation of the Respondents’ data processing certificate. “This ruling is a powerful precedent not just for Kenya, but globally affirming that rights must remain paramount in technological innovation,” said Sande."
"TSC announces 2,014 vacancies to fill gaps left through natural attrition",https://www.kbc.co.ke/tsc-announces-2014-vacancies-to-fill-gaps-left-through-natural-attrition/,2025-05-06T11:54:48+03:00,TSC,"The Teachers Service Commission (TSC) is seeking to fill 2,014 vacancies left by teachers who exited service through natural attrition across public primary, junior, and secondary schools. In a statement issued on its website, the Commission disclosed that the vacancies include 1,309 positions for primary schools, 32 for junior schools, and 673 for secondary schools. TSC said the new hires will be employed on permanent and pensionable terms, with preference given to applicants who have not previously worked for the Commission. The commission noted that manual applications will not be accepted and urged interested candidates are required to submit their applications online through the TSC website by Monday, 19th May 2025. “Interested and qualified candidates should submit their applications online through the Teachers Service Commission’s website, www.tsc.go.ke under ‘Careers’ or teachersonline.tsc.go.ke not later than Monday, 19th May 2025 Midnight,” stated TSC. “Shortlisted candidates will be required to present original academic and professional certificates. Successful candidates must not fill more than one Application for Employment Form. Filling of two or more Application for Employment Forms will lead to disqualification.” Additionally, the applicants must be Kenyan citizens, registered with the TSC, and possess a P1 certificate for primary level or a diploma in education for junior and secondary levels. TSC further issued a caution against fraudsters, warning applicants not to pay for the recruitment process. “The recruitment exercise is free of charge. The Teachers Service Commission forewarns applicants against fraudsters who might extort money from unsuspecting persons purporting to assist in recruitment,” the commission stated. The Commission noted that the 2024/2025 recruitment guidelines will govern the hiring process, and persons with disabilities are encouraged to apply in line with the equal opportunity provisions of the Constitution."
"MP Were sustained five gunshot wounds, autopsy reveals",https://www.kbc.co.ke/mp-were-sustained-five-gunshot-wounds-autopsy-reveals/,2025-05-06T00:54:15+03:00,"Charles Ong’ondo Were,Kasipul Member of Parliament","The late Kasipul Member of Parliament Charles Ong’ondo Were sustained five gunshot wounds, all fired from the left side of his body, autopsy reveals. According to a statement, an autopsy conducted by the Chief Government Pathologist, Dr. Johansen Oduor on Monday at the Lee Funeral Home shows that, two bullets were recovered adding to a third previously found in the deceased’s vehicle. Ong’ondo Were was shot dead on Wednesday by unknown gunman along Ngong Road who was reportedly on a motorcycle. The Director of the Homicide Investigations Bureau, forensic experts from the Directorate of Criminal Investigations National Forensics Laboratory, family members, legal counsel and members of parliament were also present. “An autopsy was conducted today at the Lee Funeral Home by Dr. Johansen Oduor, the Chief Government Pathologist and was attended by the Director of the Homicide Investigations Bureau, forensic experts from DCI’s National Forensics Laboratory, family members, legal counsel and members of parliament.” Read the statement. Adding that: “The examination revealed that Were sustained five gunshot wounds, all entering from the left side of his body. Two bullets were recovered during the autopsy, adding to a third previously found in the deceased’s vehicle. The investigation has yielded several key exhibits that are crucial to the case.” According to a statement, the investigation has yielded significant exhibits which will provide crucial leads as the DCI continues to piece together the events that led to the murder of Kasipul legislator. “These exhibits surveillance footage, the identification of the vehicle used to drop off the suspects, the financial proceeds found, and the connections to accompanying suspects are pivotal in advancing the investigation and understanding the events surrounding Ong’ondo Were’s tragic murder.” Read the statement. The four suspects who were arrested were presented before the JKIA Court today, (Monday) where investigators secured a 30-day custodial order to facilitate further investigations. The case is scheduled for mention on June 5, 2025. DCI says, the investigators are actively pursuing additional suspects believed to be involved in the killing of the MP adding that specialised units, including homicide and forensic teams, are working diligently to uncover all aspects of the crime, including the motive, to ensure a comprehensive investigation. While reiterating their commitment to investigate the case thoroughly, the DCI urged members of the public with information that could assist with investigation to come forward and record statements. “We appeal to anyone with information that could assist the investigation to contact the nearest police station or use our toll-free lines: 999, 112, or #FichuaKwaDCI (0800 722 203).”   Also read https://www.kbc.co.ke/police-probe-killing-of-kasipul-mp-charles-were-in-suspected-targeted-attack/ https://www.kbc.co.ke/autopsy-on-slain-kasipul-mp-set-for-may-5th/"
President Ruto pledges to revive Sony Sugar,https://www.kbc.co.ke/president-ruto-pledges-to-revive-sony-sugar/,2025-05-05T23:02:03+03:00,",","President William Ruto has pledged to restore Migori’s sugar Company Sony to profitability as part of the government’s broader efforts to revitalise the sector. The government will adopt a strategy similar to the Mumias Sugar Company recovery plan, the President explained, to modernise Sony Sugar and enhance its efficiency. He said a new management team will be appointed, with a clear mandate to give priority to the interests of cane farmers at the core of the company’s operations. The President was speaking during the groundbreaking ceremony for the Alara Nyambija Livestock Training Institute in Awendo, Migori County, which will support livestock farming. He also flagged off the Migori Last Mile Connectivity Project, which will connect 25,000 households to power by December. The programme will cost Ksh1.9 billion. In Rongo, he inspected the construction of Riosir Market, which will accommodate more than 300 traders. He also commissioned St Paul’s Rongo Mixed Day Secondary School. President Ruto also launched construction of the Muhuru Bay Pier in Nyatike Constituency, which will reduce fish harvest losses and boost earnings. He said the government is harnessing Lake Victoria’s huge potential, including fisheries, aquaculture, tourism and transportation, to spur growth, create jobs and reduce poverty. The President also inspected the progress of construction works at Oria modern market in Uriri Constituency."
PS Oluga reaffirms KEMSA’s strategic role in health sector,https://www.kbc.co.ke/ps-oluga-visits-kemsa-calls-for-transparency-renewed-public-trust/,2025-05-05T22:40:53+03:00,"Dr. Ejersa Waqo,Dr. Ouma Oluga","The government has emphasized the need to restore public trust through improved transparency, accountability, and operational efficiency in the management of medical supplies. This according to the Principal Secretary for Medical Services, Dr. Ouma Oluga who spoke during a familiarization visit to the Kenya Medical Supplies Authority (KEMSA) on Monday where he affirmed the agency’s strategic role in the country’s health system. “KEMSA plays a critical role in ensuring commodity security one of the four foundational pillars of the health sector, alongside human resources for health, healthcare financing, and digitization,” he said. Dr. Oluga who was received by KEMSA Chief Executive Officer Dr. Ejersa Waqo, later held a consultative meeting with the Board of Directors. The PS urged KEMSA to strengthen its governance and supply chain systems to support the Ministry of Health’s commitment to delivering quality and equitable services under the Universal Health Coverage (UHC) programme."
"Education Ministry, Lipton ink deal to boost Kenya’s tea sector",https://www.kbc.co.ke/government-lipton-ink-deal-to-boost-kenyas-tea-sector/,2025-05-05T22:05:43+03:00,"Education Cabinet Secretary (CS) Julius Migos Ogamba,Ekaterra Global Operations","The Ministry of Education Monday signed a landmark collaboration agreement with Lipton Teas and Infusions, marking the official establishment of a Tea Academy at the University of Kabianga in Kericho County, aimed at transforming Kenya’s tea industry through advanced training, research, and climate-smart farming practices. The partnership, which also involves Ekaterra Global Operations the corporate entity behind Lipton comes nearly two years after initial discussions between President William Ruto and Lipton’s CEO Nathalie Roos in May 2023. Speaking during the ceremony, Education Cabinet Secretary (CS) Julius Migos Ogamba hailed the initiative as a significant step towards aligning education with industry needs, adding that the agreement will be a major boost for tea farmers in the region, who stand to benefit from enhanced production techniques and access to global best practices. “This is the culmination of a long but productive journey. Our farmers will now have access to cutting-edge knowledge and skills that will enhance tea quality and increase yields.” Said Ogamba He said the Tea Academy will be based at the University of Kabianga, which is strategically located in the heart of Kenya’s tea-growing belt and will serve as a hub for farmer training, research, and innovation focused on sustainable tea production and climate resilience. “The Academy will expose our farmers to technologies that address climate change, promote low-carbon practices, and improve productivity. It is an excellent opportunity for farmers to benefit from the expertise of one of the world’s leading tea companies,” added Ogamba He said the collaboration is designed not only to boost productivity but also to increase the earnings of smallholder farmers, adding that by adopting modern and sustainable practices, farmers are expected to command better prices on both local and international markets. The Cabinet Secretary, Ogamba, emphasized the government’s broader vision for higher education institutions to become engines of innovation and development, adding that the Tea Academy will play a critical role in helping Kenya maintain its reputation as a leading global exporter of high-quality tea. “The future and sustainability of our universities depend on strategic partnerships such as this. We expect institutions to engage in cutting-edge research and commercialize innovations that can transform industries,” he said. With implementation expected to commence immediately, stakeholders expressed optimism that the Tea Academy would begin operations by the end of 2025, with its first cohort of farmers and researchers enrolled shortly thereafter. Kericho Governor Dr. Erick Mutai, who also graced the occasion, commended the government for the establishment of the Lipton Tea Innovation and Technology Academy (LTITA) at the University of Kabianga, saying it will drive cutting-edge research, innovation, and value addition in tea production, ultimately boosting farmers’ earnings. “As a County Government, we welcome the inaugural academy which we expect will train over 3,000 Kenyans annually to build globally competitive talent for the tea industry.” Said Dr. Mutai."
ICJ throws out Sudan genocide case against UAE,https://www.kbc.co.ke/icj-throws-out-sudan-genocide-case-against-uae/,2025-05-05T19:51:00+03:00,"Mohamed Hamdan Daglo,Rapid Support Forces (RSF)","The top United Nations court on Monday threw out Sudan’s case against the United Arab Emirates over alleged complicity in genocide during the brutal Sudanese civil war. Sudan had taken the UAE to the International Court of Justice over its alleged support for the paramilitary Rapid Support Forces (RSF), saying it was contributing to a genocide — accusations denied by the Emiratis. But the ICJ said it “manifestly lacked” jurisdiction to rule on the case and threw out it out. When the UAE signed up to the UN’s Genocide Convention in 2005, it entered a “reservation” to a key clause that allows countries to sue others at the ICJ over disputes. This reservation meant the ICJ did not have the power to intervene in the case. A UAE official hailed the judges’ ruling. “This decision is a clear and decisive affirmation of the fact that this case was utterly baseless,” Reem Ketait, deputy assistant minister for political affairs at the UAE foreign ministry, said in a statement to AFP. Before the ruling, Ketait had accused Sudan of lodging the case in a “cynical attempt to divert attention from their own brutal record of atrocities against Sudanese civilians”. Since April 2023, Sudan has been torn apart by a power struggle between army chief Abdel Fattah al-Burhan and the commander of the paramilitary Rapid Support Forces (RSF), Mohamed Hamdan Daglo. The war has triggered what aid agencies call the world’s largest displacement, and hunger crises. Famine has officially hit five areas across Sudan, according to a UN-backed assessment. The North Darfur region has been a particular battleground, with at least 542 civilians killed in the past three weeks, according to the United Nations. The ICJ said it was “deeply concerned about the unfolding human tragedy in Sudan that forms the backdrop to the present dispute”. “The violent conflict has a devastating effect, resulting in untold loss of life and suffering, in particular in West Darfur,” the court added. As the court found that it lacked jurisdiction to go forward with Sudan’s legal action, it did not rule on the fundamental merits of the case. The court noted that: “Whether or not states have accepted the jurisdiction of the court… they are required to comply with their obligations (to the Genocide Convention).” Countries also “remain responsible for acts attributable to them which are contrary to their international obligations”. A handful of pro-Sudan protesters staged a demonstration outside the Peace Palace, the seat of the ICJ in The Hague, shouting and brandishing banners including one that read “UAE kills Sudan”. “We feel completely disappointed… We only ask for justice,” said one protester, Hisham Fadl Akasha, a 57-year-old engineer. The Raoul Wallenberg Centre for Human Rights (RWCHR), based in Montreal, called the ICJ’s decision “a travesty”. “Today, one can only feel shocked -– if not betrayed -– by the ongoing level of indifference and impunity in the face of another genocide that is being effectively silenced and sanitised,” RWCHR founder Irwin Cotler said in a statement. – ‘Reparations’ demanded –
During hearings on the case last month, Sudan’s acting justice minister Muawia Osman told the court the “ongoing genocide would not be possible without UAE complicity, including the shipment of arms to the RSF”. “The direct logistical and other support that the UAE has provided and continues to provide to the RSF has been and continues to be the primary driving force behind the genocide now taking place, including killing, rape, forced displacement and looting,” said Osman. Khartoum had urged the ICJ judges to force the UAE to stop its alleged support for the RSF and make “full reparations”, including compensation to victims of the war. While the ICJ has rejected Sudan’s case, the bloody conflict in Sudan shows no sign of easing. On Sunday, the RSF struck Port Sudan, the army said, in the first attack on the seat of the army-aligned government during the country’s two-year war."
