headline,url,published_at,tags,content
"Kisumu Port cargo throughput more than doubles to 280,381MT",https://www.kbc.co.ke/kisumu-port-cargo-throughput-more-than-doubles-to-280381mt/,2025-05-05T15:37:24+03:00,,"Kisumu Port has recorded a sharp rise in cargo volumes and vessel activity, cementing its position as a key player in East Africa’s transport and logistics network. According to the latest report by the Kenya Ports Authority (KPA), the revitalized port handled 280,381 metric tons (MT) of cargo in 2024—more than double the 116,578 MT recorded the previous year. The momentum has carried into 2025, with the port already processing 109,839 MT in the first quarter alone, signaling sustained growth and strong regional demand. The port has also seen a notable increase in ship traffic, with 67 vessels docking so far this year. Seven major ships which include Orion III, Uhuru II, MT Elgon, MT Kabaka Mutebi III, MV Munanka, Mango Tree, and MV Noris now operate regular routes through Kisumu. Fuel exports continue to dominate outbound trade, accounting for 58pc of shipments, followed by ceramic tiles (23pc), construction materials and steel billets (13pc), and bagged fertilizers (6pc). These commodities are shipped to strategic regional destinations such as Jinja and Port Bell in Uganda, and Mwanza in Tanzania. Highlighting the port’s expanded export operations, MV Orion II made a call over the weekend to load 600 MT of ceramic tiles for export to Port Bell. The vessel, which has become known for handling ceramics, now stops at the port every two weeks, reflecting the consistency and reliability of Kisumu’s shipping schedule. KPA Managing Director Captain William Ruto said the surge in throughput was a clear testament to the port’s rising role as a regional logistics hub. Ruto attributed the rapid growth to continued investment in infrastructure and operations at the facility which has improved turnaround time for clearance of goods. “We are seeing more cargo, more ships, and greater efficiency thanks to continued investment in infrastructure and operations,” he said. Ruto credited the port’s growth to modernization efforts, including the upgrade of berths, improved cargo handling facilities, and enhanced connectivity through the Kisumu-Nairobi meter-gauge railway (MGR) line. He also cited ongoing projects such as the construction of new storage facilities, a modern passenger terminal, and the introduction of advanced cargo handling equipment. “The future of Kisumu Port lies in smart technologies, efficient logistics, and deeper regional integration. We are building a facility that meets both current and future demands of trade across Lake Victoria,” he said. Kisumu Port Manager in charge of Cargo Services Operations Patrick Makau said the port anticipates more improvements in safety and efficiency while focusing on modernization, better regional transport integration, and embracing smart port technologies. The Port of Kisumu is one of the ports on Lake Victoria that offer organized shipping services on Lake Victoria. The other ports are: Port Bell and Jinja in Uganda; and Mwanza, Bukoba, and Musoma in Tanzania. Out of these ports, Kisumu, Mwanza and Port Bell are the largest, in terms of throughput."
Livestock e-voucher vaccination piloted in Uasin Gishu County,https://www.kbc.co.ke/livestock-e-voucher-vaccination-piloted-in-uasin-gishu-county/,2025-05-05T15:30:50+03:00,,"Uasin Gishu County has become the first devolved unit in Kenya to pilot an e-voucher-based animal vaccination program. Speaking during the roll out of the programme, Agriculture Principal Secretary Dr Paul Rono lauded Uasin Gishu’s efforts, stating that the programs align perfectly with the national government’s agenda for economic transformation and food security. “With this vaccination program, coffee expansion, and the embrace of JUNCAO grass, our farmers are poised for real empowerment, and we envision a dollar economy rooted in agriculture, and Uasin Gishu is leading the way. This county is well on its path to becoming a coffee production hub, and we are welcoming investors to support that vision,” said the PS. Rono also emphasized the importance of regulation in the agricultural sector, noting the government’s ongoing verification of pesticides and commitment to eliminating unauthorized products from the market further urging farmers to embrace artificial insemination (AI) services, which have now been made more affordable, and to focus on upgrading livestock breeds for better milk yields. “We don’t want Uasin Gishu to just be a breadbasket, but we want it to be a wealthy basket, and our goal is to put farmers at the forefront, with access to better markets, packaging, and production technologies,” he added. The Principal Secretary also directed that all extension officers issued with motorcycles must hold valid driving licenses and encouraged a disciplined, farmer-first approach in their operations. The initiative, which begins in Sergoit Ward, allows farmers to access Foot and Mouth Disease (FMD) vaccines at a highly subsidized cost of Ksh 17 per animal, down from the previous Ksh 150. Backed by Ksh 2.7 million in funding and implemented through the Tuiyotich Cooperative, the program is targeting 20,000 animals. It also introduces digital animal IDs and leverages automated payments through Safaricom to ensure transparency and accountability. “This is a historic step for our county and a model for the rest of the country, we are empowering our farmers with affordable, tech-driven solutions that will protect their livestock and improve productivity,” said Dr Jonathan Bii, Uasin Gishu County Governor. As part of broader efforts to enhance agricultural extension services, the county unveiled 21 new motorcycles distributed to ward-level agricultural officers to enhance service delivery, ensuring that farmers receive timely support and technical guidance and also launched the distribution of 133,000 coffee seedlings to the farmers, a move embraced by ready awaiting prepared farmers. The Governor also disbursed cheques worth Ksh 2.42 million to Sugutek Farmers’ Cooperative Society (FCS) and Ksh 2.64 million to Tuiyotich FCS to support the cooperatives. The funds are designated for solarization projects under the Enterprise Development Grant Program, which aims to improve energy efficiency and sustainability in farming operations. Additionally, the county and national government teams’ rollout JUNCAO grass, a high-yield, protein-rich fodder crop capable of six harvests annually, supporting up to 18 animals per acre. The county will also establish 28 demonstration plots across various wards to promote the adoption of this fodder, to significantly boost dairy production. Deputy Governor Evans Kapkea echoed these sentiments, praising the integration of Governor Bii’s Nguzo Kumi development framework with the BETA agenda. “It’s now up to us farmers to seize the opportunities offered and uplift ourselves economically,” he said. Augustine Choge, head of the BETA Implementation Team, confirmed that the e-voucher system is already in effect, with all cattle registered in the system."
"Tourism sector records growth as regulator licenses over 33,000 enterprises",https://www.kbc.co.ke/tourism-sector-records-growth-as-regulator-licenses-over-33-000-enterprises/,2025-05-03T12:39:06+03:00,"Tourism,TRA","Over 33,000 tourism enterprises across the country have been registered and licensed by the Tourism Regulatory Authority (TRA) after meeting the set standards. According to TRA, the number of enterprises offering tourism services is expected to rise further in the coming year. This emerged during the Heads of Housekeeping Association of Kenya (HHPA) annual meeting in Lake Naivasha Resort and that attracted participants from different counties. According to Frederick Omondi, the Director Standards and Quality Assurance, the authority had developed eighteen standards in a bid to address quality services in the sector. This, according to him, formed the basis of regulating the enterprises to ensure that the sector was regulated in a sustainable manner. Addressing the press on the sidelines of the meeting, Omondi noted that the tourism sector was on the right track despite emerging challenges and competition from neighboring countries. “We have seen a growing number of new entrants in terms of new restaurants, new hotels, new tour operators, new tour guides and even Airbnbs,” he said. He added that the authority had conducted a country-wide national accreditation exercise that had seen a number of hospitality facilities awarded gold on the basis of the quality performance. “After the accreditation, we had a total of 303 gold awardees, 342 silver awardees and 346 bronze awardees and we are now prepared for the East Africa classification system,” he said. On challenges, he admitted that there was a huge disconnect between the hotel managers and investors which the authority was prepared to address. The Chairman HHPA Antipas Nyambok said that most housekeepers were not recognized by their employers who tended to think housekeeping was in the back of the hotel business. Nyabok added that room business, depending on the setup of the hotel, contributed between 60 to 80 percent of the total hotel revenue. “The housekeepers must be trained, supervised and they should be brought up to speed each and every moment as they are critical to hotel operations,” he said. A medical practitioner Dr. Darius Wambua said that awareness among workers in the hospitality industry had seen cases of Occupational Health and Safety cases come down. “Psychosocial stresses among workers end up causing psychosomatic disorders and this impacts eventually on productivity and hence the need to create awareness,” he said. Others who spoke were Samuel Mungai from NEMKEM Company which offers hygiene solutions for the hospitality industry, processed foods, healthcare and cleaning contracts. “Business in the hospitality sector has improved since Covid-19 as Kenyans have accepted to travel and the hospitality industry is gaining more traction and more occupancy,” he said."
Kagwe hints at allowing tea farmers to sell directly to buyers,https://www.kbc.co.ke/kagwe-hints-at-allowing-tea-farmers-to-sell-directly-to-buyers/,2025-05-02T17:51:21+03:00,"Agriculture,tea","Kenya tea farmers could soon be allowed to sell their produce directly to international buyers in what Agriculture and Livestock Development Cabinet Secretary Mutahi Kagwe says is expected to improve earnings. According to the data by the Tea Board of Kenya, more than 60pc of Kenya’s tea is sold through auction monthly. Speaking in Nyeri County during the International Tea Celebrations in Nyeri County, Kagwe said the move to allow direct tea sales on the international market is part of reforms by the government to promote and diversify Kenyan tea. “Am also happy to report that, shortly through reforms being spearheaded by my Ministry; we will soon be allowing tea factories to sell their teas directly into the international markets without intermediaries. This strategy will augment Government of Kenya Marketing efforts, therefore translate to increased earnings to our tea farmers,” said Kagwe. According to TBK, in January alone, Kenya sold 33.4 million kilograms of tea through auction out of total production which stood at 54.4 million kilograms. The government also plans to unveil an orthodox tea auction window within the Integrated Tea Trading System (ITTS) in June this year in collaboration with the the East African Tea Association (EATTA) and TBK. This is expected to allow for sale of orthodox teas globally. “The orthodox tea auction will set the stage for a reliable distribution outlet that is expected to enhance renewed impetus to sustainable product diversification from Cut, Tear and Curl i.e. (CTC teas) to orthodox teas,” Kagwe stated. As part of its diversification strategy, the country is also eying new international markets in the Far East, Middle East, China, Russia and India. Kenya saw an increase in tea export destination in January this year as markets grew to 61 compared to 58 during the same period last year."
Poor farming practices blamed for low maize production,https://www.kbc.co.ke/poor-farming-practices-blamed-for-low-maize-production/,2025-05-02T11:44:33+03:00,"Agriculture,Maize","The low production of maize in the country has been attributed to diseases, poor pest control methods, wrong use of fertilizer and failure to innovate. Currently, Kenya farmers productivity per acre in maize production stands at 2 metric tonnes as compared to Tanzania 3 metric and Zambia 3.5 metric tonnes. As a result the country has for decades resulted in the import of millions of tonnes of maize to address the shortages and feed its increasing population. To address this, farmers have been urged to procure genuine, government approved and environmentally friendly chemicals that promise higher yields from their farms. According to M.L Sharma, the General Managing Director, Rainbow Company in East Africa, the main challenges currently facing farmers was poor use of chemicals that led to low production. Sharma said the company had introduced various cost effective and innovative products that promised to reverse decades of poor yields by controlling destructive pests and diseases. He said Kenya, where maize production occupied more than 40pc of farms cultivation had grappled with the destructive fall army worms that had left farmers counting losses running into millions of shillings. The Director said the company has introduced in the Kenyan market a cost effective chemical to control the army worms which would in turn increase farms yields by 10 percent. “Our range of chemical products introduced in the Kenyan market will enhance productivity for farmers by 10 percent while they are cost effective by 7pc,” said Sharma. Sharma made remarks during a farmers-field in Naivasha, an event that attracted over 5,000 farmers from different counties. On his part, the company CEO Wicky Wang said the chemicals introduced met the country and global quality measures and were environmentally friendly amidst calls to control the level of toxicity in farms locally. Wang said through cutting edge technology and innovation, the range of chemical products would help farmers increase their yields and returns. According to Agatha Musau, a distributor, the products such as Europlus, readout and turncap had shown improved efficacy in potatoes, vegetable and maize farming. Musau said the chemicals were cost friendly and had shown better results in farms as compared with other products. On his part, David Njau, a coffee farmer said the introduction of five star chemicals offered reliefs to the control of fungal infection in coffee trees mainly during cold seasons. He welcomed the products which are cheaper and readily available to farmers noting that they would offer relief by containing destructive pests and diseases."
Kenya banks on partnerships to cut greenhouse gases in new NDC framework,https://www.kbc.co.ke/kenya-banks-on-partnerships-to-cut-greenhouse-gases-in-new-ndc-framework/,2025-05-01T18:28:52+03:00,"greenhouse gas emissions,Nationally Determined Contributions","Kenya will spend close to seven trillion shillings to implement a raft of measures aimed at cutting down its greenhouse gas emissions. According to the nationally determined contributions blueprint released on Wednesday, the new plan will take effect from January 2031 to December 2035. The 2nd NDC blueprint was submitted to the United Nations framework convention on climate change on 30th of April 2025, hours before the UN imposed deadline to submit the blueprint expired. According to a statement from the ministry of environment, Kenya will internally contribute 270 billion shillings annually from 2031 to 2035 for mitigation and adaptation measures to lower emissions by 75.25 Million tons of Carbon Dioxide equivalent (MtCO2eq). The country will focus on international support, including finance, investments, technology development and transfer, capacity building, as well as participation in carbon markets to achieve the remaining 80% funding. The statement say the NDC will be revised to align with the country’s forthcoming Long-Term Development Vision which is under development to replace the Vision 2030, which lapses in five years-time. The first nationally determined contributions was revised in 2020, five years after the original draft was submitted to the United Nations Framework Convention on Climate Change. The document had set an ambitious target of reducing greenhouse gas emissions by 32% by 2030 compared to the business-as-usual scenario. Kenya had outlined a 62 billion dollar budget target to achieve the ambitious plan. However the plan has faced many challenges including lack of financing and budget cuts due to the Covid-19 pandemic and the global economic meltdown caused by supply chain disruption due to Covid-19, Russia’s special military operation in Ukraine and the ongoing war between Israel and Palestine. Under the current NDC Kenya aims to invest more in renewable energy, sustainable land use, ecosystems and nature-based solutions, smart agriculture, green infrastructure and urban development among others interventions. Under the updated NDC Kenya seeks to deploy innovation and technology in keys sectors such as health, agriculture, infrastructural development and education. The document also talks about public-private partnerships to drive green investments. In accordance with Article 4, paragraph 12 of the Paris Agreement, there are 214 Countries that have submitted their 10 year plans to the NDC registry. The plans are supposed to be update after every five years. In 2023, Kenya launched a five year National Climate Change Action Plan III that elapses in 2027. The document is a planning tool to help in the implementation of the NDC measures aligned with vision 2030 and the Climate Change Act, 2023. The ministry of environment says the updated plan-2031-2035 is expected to drive transformative economic development, innovation, and inclusive growth across key sectors of the Kenyan economy."
"Kisumu Port cargo throughput more than doubles to 280,381MT",https://www.kbc.co.ke/kisumu-port-cargo-throughput-more-than-doubles-to-280381mt/,2025-05-05T15:37:24+03:00,,"Kisumu Port has recorded a sharp rise in cargo volumes and vessel activity, cementing its position as a key player in East Africa’s transport and logistics network. According to the latest report by the Kenya Ports Authority (KPA), the revitalized port handled 280,381 metric tons (MT) of cargo in 2024—more than double the 116,578 MT recorded the previous year. The momentum has carried into 2025, with the port already processing 109,839 MT in the first quarter alone, signaling sustained growth and strong regional demand. The port has also seen a notable increase in ship traffic, with 67 vessels docking so far this year. Seven major ships which include Orion III, Uhuru II, MT Elgon, MT Kabaka Mutebi III, MV Munanka, Mango Tree, and MV Noris now operate regular routes through Kisumu. Fuel exports continue to dominate outbound trade, accounting for 58pc of shipments, followed by ceramic tiles (23pc), construction materials and steel billets (13pc), and bagged fertilizers (6pc). These commodities are shipped to strategic regional destinations such as Jinja and Port Bell in Uganda, and Mwanza in Tanzania. Highlighting the port’s expanded export operations, MV Orion II made a call over the weekend to load 600 MT of ceramic tiles for export to Port Bell. The vessel, which has become known for handling ceramics, now stops at the port every two weeks, reflecting the consistency and reliability of Kisumu’s shipping schedule. KPA Managing Director Captain William Ruto said the surge in throughput was a clear testament to the port’s rising role as a regional logistics hub. Ruto attributed the rapid growth to continued investment in infrastructure and operations at the facility which has improved turnaround time for clearance of goods. “We are seeing more cargo, more ships, and greater efficiency thanks to continued investment in infrastructure and operations,” he said. Ruto credited the port’s growth to modernization efforts, including the upgrade of berths, improved cargo handling facilities, and enhanced connectivity through the Kisumu-Nairobi meter-gauge railway (MGR) line. He also cited ongoing projects such as the construction of new storage facilities, a modern passenger terminal, and the introduction of advanced cargo handling equipment. “The future of Kisumu Port lies in smart technologies, efficient logistics, and deeper regional integration. We are building a facility that meets both current and future demands of trade across Lake Victoria,” he said. Kisumu Port Manager in charge of Cargo Services Operations Patrick Makau said the port anticipates more improvements in safety and efficiency while focusing on modernization, better regional transport integration, and embracing smart port technologies. The Port of Kisumu is one of the ports on Lake Victoria that offer organized shipping services on Lake Victoria. The other ports are: Port Bell and Jinja in Uganda; and Mwanza, Bukoba, and Musoma in Tanzania. Out of these ports, Kisumu, Mwanza and Port Bell are the largest, in terms of throughput."
Livestock e-voucher vaccination piloted in Uasin Gishu County,https://www.kbc.co.ke/livestock-e-voucher-vaccination-piloted-in-uasin-gishu-county/,2025-05-05T15:30:50+03:00,,"Uasin Gishu County has become the first devolved unit in Kenya to pilot an e-voucher-based animal vaccination program. Speaking during the roll out of the programme, Agriculture Principal Secretary Dr Paul Rono lauded Uasin Gishu’s efforts, stating that the programs align perfectly with the national government’s agenda for economic transformation and food security. “With this vaccination program, coffee expansion, and the embrace of JUNCAO grass, our farmers are poised for real empowerment, and we envision a dollar economy rooted in agriculture, and Uasin Gishu is leading the way. This county is well on its path to becoming a coffee production hub, and we are welcoming investors to support that vision,” said the PS. Rono also emphasized the importance of regulation in the agricultural sector, noting the government’s ongoing verification of pesticides and commitment to eliminating unauthorized products from the market further urging farmers to embrace artificial insemination (AI) services, which have now been made more affordable, and to focus on upgrading livestock breeds for better milk yields. “We don’t want Uasin Gishu to just be a breadbasket, but we want it to be a wealthy basket, and our goal is to put farmers at the forefront, with access to better markets, packaging, and production technologies,” he added. The Principal Secretary also directed that all extension officers issued with motorcycles must hold valid driving licenses and encouraged a disciplined, farmer-first approach in their operations. The initiative, which begins in Sergoit Ward, allows farmers to access Foot and Mouth Disease (FMD) vaccines at a highly subsidized cost of Ksh 17 per animal, down from the previous Ksh 150. Backed by Ksh 2.7 million in funding and implemented through the Tuiyotich Cooperative, the program is targeting 20,000 animals. It also introduces digital animal IDs and leverages automated payments through Safaricom to ensure transparency and accountability. “This is a historic step for our county and a model for the rest of the country, we are empowering our farmers with affordable, tech-driven solutions that will protect their livestock and improve productivity,” said Dr Jonathan Bii, Uasin Gishu County Governor. As part of broader efforts to enhance agricultural extension services, the county unveiled 21 new motorcycles distributed to ward-level agricultural officers to enhance service delivery, ensuring that farmers receive timely support and technical guidance and also launched the distribution of 133,000 coffee seedlings to the farmers, a move embraced by ready awaiting prepared farmers. The Governor also disbursed cheques worth Ksh 2.42 million to Sugutek Farmers’ Cooperative Society (FCS) and Ksh 2.64 million to Tuiyotich FCS to support the cooperatives. The funds are designated for solarization projects under the Enterprise Development Grant Program, which aims to improve energy efficiency and sustainability in farming operations. Additionally, the county and national government teams’ rollout JUNCAO grass, a high-yield, protein-rich fodder crop capable of six harvests annually, supporting up to 18 animals per acre. The county will also establish 28 demonstration plots across various wards to promote the adoption of this fodder, to significantly boost dairy production. Deputy Governor Evans Kapkea echoed these sentiments, praising the integration of Governor Bii’s Nguzo Kumi development framework with the BETA agenda. “It’s now up to us farmers to seize the opportunities offered and uplift ourselves economically,” he said. Augustine Choge, head of the BETA Implementation Team, confirmed that the e-voucher system is already in effect, with all cattle registered in the system."
"Tourism sector records growth as regulator licenses over 33,000 enterprises",https://www.kbc.co.ke/tourism-sector-records-growth-as-regulator-licenses-over-33-000-enterprises/,2025-05-03T12:39:06+03:00,"Tourism,TRA","Over 33,000 tourism enterprises across the country have been registered and licensed by the Tourism Regulatory Authority (TRA) after meeting the set standards. According to TRA, the number of enterprises offering tourism services is expected to rise further in the coming year. This emerged during the Heads of Housekeeping Association of Kenya (HHPA) annual meeting in Lake Naivasha Resort and that attracted participants from different counties. According to Frederick Omondi, the Director Standards and Quality Assurance, the authority had developed eighteen standards in a bid to address quality services in the sector. This, according to him, formed the basis of regulating the enterprises to ensure that the sector was regulated in a sustainable manner. Addressing the press on the sidelines of the meeting, Omondi noted that the tourism sector was on the right track despite emerging challenges and competition from neighboring countries. “We have seen a growing number of new entrants in terms of new restaurants, new hotels, new tour operators, new tour guides and even Airbnbs,” he said. He added that the authority had conducted a country-wide national accreditation exercise that had seen a number of hospitality facilities awarded gold on the basis of the quality performance. “After the accreditation, we had a total of 303 gold awardees, 342 silver awardees and 346 bronze awardees and we are now prepared for the East Africa classification system,” he said. On challenges, he admitted that there was a huge disconnect between the hotel managers and investors which the authority was prepared to address. The Chairman HHPA Antipas Nyambok said that most housekeepers were not recognized by their employers who tended to think housekeeping was in the back of the hotel business. Nyabok added that room business, depending on the setup of the hotel, contributed between 60 to 80 percent of the total hotel revenue. “The housekeepers must be trained, supervised and they should be brought up to speed each and every moment as they are critical to hotel operations,” he said. A medical practitioner Dr. Darius Wambua said that awareness among workers in the hospitality industry had seen cases of Occupational Health and Safety cases come down. “Psychosocial stresses among workers end up causing psychosomatic disorders and this impacts eventually on productivity and hence the need to create awareness,” he said. Others who spoke were Samuel Mungai from NEMKEM Company which offers hygiene solutions for the hospitality industry, processed foods, healthcare and cleaning contracts. “Business in the hospitality sector has improved since Covid-19 as Kenyans have accepted to travel and the hospitality industry is gaining more traction and more occupancy,” he said."
Kagwe hints at allowing tea farmers to sell directly to buyers,https://www.kbc.co.ke/kagwe-hints-at-allowing-tea-farmers-to-sell-directly-to-buyers/,2025-05-02T17:51:21+03:00,"Agriculture,tea","Kenya tea farmers could soon be allowed to sell their produce directly to international buyers in what Agriculture and Livestock Development Cabinet Secretary Mutahi Kagwe says is expected to improve earnings. According to the data by the Tea Board of Kenya, more than 60pc of Kenya’s tea is sold through auction monthly. Speaking in Nyeri County during the International Tea Celebrations in Nyeri County, Kagwe said the move to allow direct tea sales on the international market is part of reforms by the government to promote and diversify Kenyan tea. “Am also happy to report that, shortly through reforms being spearheaded by my Ministry; we will soon be allowing tea factories to sell their teas directly into the international markets without intermediaries. This strategy will augment Government of Kenya Marketing efforts, therefore translate to increased earnings to our tea farmers,” said Kagwe. According to TBK, in January alone, Kenya sold 33.4 million kilograms of tea through auction out of total production which stood at 54.4 million kilograms. The government also plans to unveil an orthodox tea auction window within the Integrated Tea Trading System (ITTS) in June this year in collaboration with the the East African Tea Association (EATTA) and TBK. This is expected to allow for sale of orthodox teas globally. “The orthodox tea auction will set the stage for a reliable distribution outlet that is expected to enhance renewed impetus to sustainable product diversification from Cut, Tear and Curl i.e. (CTC teas) to orthodox teas,” Kagwe stated. As part of its diversification strategy, the country is also eying new international markets in the Far East, Middle East, China, Russia and India. Kenya saw an increase in tea export destination in January this year as markets grew to 61 compared to 58 during the same period last year."
