date,title,description,url
2025-03-11T17:56:11+00:00,"Kenya’s HIV patients, including children, on edge as US stops aid","At the Nyumbani Children's Home in Kenya's capital Nairobi, the facility's staff fears for the future of children with HIV/AIDS as US freezes foreign aid. Without U.S. funding, distribution from the Nairobi warehouse, which stocks all U.S. government-donated HIV medicine to Kenya, has ceased, leaving supplies of some drugs worryingly low, according to a former USAID official and a health official in Kenya. The 90-day foreign aid freeze, ordered by U.S. President Donald Trump has disrupted the global supply of HIV medicines as well as drugs for other diseases. Reuters’ Fiona Jones reports.",https://www.voaafrica.com/a/8007023.html
2025-03-07T16:27:53+00:00,"Kenya's Ruto, opposition veteran Odinga sign deal to form ""broad-based government""","Kenyan President William Ruto and opposition veteran Raila Odinga on Friday signed a memorandum of understanding, formalizing what has been termed as a “broad-based government” at Nairobi’s Kenyatta International Convention Centre (KICC). The pact between the United Democratic Alliance, UDA, and the Orange Democratic Movement, ODM, details a framework for collaboration between the country’s two largest political parties. Both parties have pledged to work together on the East African nation’s many challenges including its ballooning debt and corruption. Ruto's popularity has been dwindling after plans for new taxes sparked massive youth-led protests in 2024 that saw at least 60 people killed, according to rights groups. The protests plunged Ruto's government into a crisis, forcing him to join forces with Odinga to form a ""broad-based government"" last year with several members of his party.",https://www.voaafrica.com/a/8002525.html
2025-03-07T14:52:55+00:00,Museum of Illusions opens in Nairobi with an African-inspired twist,Kenya's urban street artists have teamed up to add an African-inspired twist to East Africa's first Museum of Illusions in Nairobi.,https://www.voaafrica.com/a/8002405.html
2025-02-27T07:00:00+00:00,"In Kenyan newsroom, a young generation joins the digital media trend","In Kenya, more and more audiences are consuming news via social media. The shift is changing the media landscape, with startups like Tuko emerging as a leader in fast-paced news for younger audiences. For VOA, Victoria Amunga meets the team to hear how they balance responsible journalism with the needs of the digital age.",https://www.voaafrica.com/a/7989337.html
2025-02-17T16:00:00+00:00,Kenyan human rights group reports 82 cases of alleged forced disappearances since June 2024,"Since June 2024, when a series of mass protests took place in Kenya, 82 cases of alleged forced disappearances have been recorded, according to the Kenyan National Human Rights Commission. It’s yet to be confirmed who is behind the abductions. VOA Nairobi Bureau Chief Mariama Diallo, who spoke to two brothers who say they were abducted for 32 days, has this report.",https://www.voaafrica.com/a/7977765.html
2025-02-11T18:30:30+00:00,Kenyan jobseekers head abroad to help boost economy back home,"Kenya's labor ministry says the government looks to send 1 million workers abroad a year for the next three years to countries where officials are hoping that young Kenyans can gain skills and income that will benefit the domestic economy. However, the initiative, one of the African country's biggest ever, is not without its detractors. Reuters’ Lauren Roback has this report.",https://www.voaafrica.com/a/7970999.html
2024-12-12T15:00:58+00:00,Kenyan scientists study mealworm they say can break down plastics,"Scientists in Kenya say they are studying a mealworm native to Africa that can consume and biodegrade plastic. Experts report the meal worm produces enzymes that can help break down plastic waste. Juma Majanga reports from Nairobi, Kenya. Camera: Amos Wangwa.",https://www.voaafrica.com/a/7897993.html
2024-12-06T07:00:00+00:00,Kenyan brothers turn recycled newspapers into sustainable pencils,Kenyan brothers Mahamud and Rashid Omari are committed to doing what they can for the environment and running a successful business at the same time. The two are turning recycled newspapers into pencils. VOA's Patrick Wanjohi met the brothers to learn about their process and entrepreneurial journey.,https://www.voaafrica.com/a/7888938.html
2024-12-04T07:30:00+00:00,US Embassy in Kenya unveils new tech hub for innovators,Kenyan startup innovators are accessing American libraries in their communities. The hubs dubbed American corner Mtaani meaning streets in Swahili enable young innovators to explore a wide range of technology and access eLibraryUSA. Victoria Amunga  reports from Nairobi.,https://www.voaafrica.com/a/7885934.html
2024-12-03T13:56:38+00:00,2024 World AIDS Day in Kenya,"Communities around the world just commemorated World AIDS Day. In Kenya, one health facility provides affordable care to everyone, especially communities of people living with HIV. Reuben Kyama reports on this for VOA from the Kenyan capital Nairobi.",https://www.voaafrica.com/a/7885393.html
2024-11-29T07:00:00+00:00,"Kenya clinics provide healthcare to cross-border truck drivers, sex workers","A clinic initiative in Kenya aims to provide healthcare to vulnerable mobile populations, such as truck drivers and commercial sex workers. The goal is to combat the spread of disease across borders in Africa. Juma Majanga reports from transit town of Mlolongo in Kenya.",https://www.voaafrica.com/a/7880559.html
2024-11-25T18:51:29+00:00,Kizza Besigye's attorney and others demand charges against him be dropped,"In Uganda, Eron Kiiza, the defense lawyer for opposition figure Dr. Kizza Besigye tells VOA’s Peter Clottey that he is welcoming calls for charges against Besigye to be dropped. He says the family of Besigye and other human rights defenders plan to sue the Ugandan government for what he says were the violations of the rights of the opposition leader. Kiiza also says that the military court lacks jurisdiction to try the case in a military setting.",https://www.voaafrica.com/a/7876368.html
2024-11-25T15:22:22+00:00,The Catholic Church in Kenya rejects donations pledged by President Ruto’s administration,Anti-tax Gen Z protesters in Kenya have welcomed the decision by the Catholic Church to reject cash donations and pledges by President William Ruto and his administration. Gen Z protester Robert Mwangi tells VOA’s Peter Clottey that the move shows the Catholic Church wants the government to be aware of the economic challenges facing many Kenyans.,https://www.voaafrica.com/a/7876059.html
2024-11-22T08:00:00+00:00,How beekeeping is helps communities cope with climate change in Kenya,"The U.N. Environment Program says communities living in drylands are the most affected by global warming, with frequent droughts and subsequent floods rendering traditional livelihoods like farming and livestock keeping nearly impossible. Conservation experts in Kenya are helping such communities develop climate-resilient alternative livelihoods like beekeeping to help them cope with the changing weather patterns. Juma Majanga reports from Garsen, Kenya.",https://www.voaafrica.com/a/7872499.html
2024-11-22T07:00:00+00:00,AI app helps Kenyan farmers optimize crop yields,"Farmers in Kenya are using artificial intelligence to help them get better crop yields. An AI-powered tool – called Virtual Agronomist – engages directly with farmers to help them create tailored plans to optimize the quality and quantity of their crops. Mohammed Yusuf has more from Mwea, Kenya.",https://www.voaafrica.com/a/7872488.html
